"Cisp";"Ano";"Mês";"Titulo";"Sexo";"Cor";"Idade";"Vítimas"
"1";"2022";"2";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"1";"2022";"5";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";2
"1";"2022";"8";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"1";"2022";"10";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"1";"2022";"10";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"60 anos ou mais";1
"1";"2022";"12";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"1";"2022";"12";"Injúria por preconceito";"Feminino";"Amarela";"60 anos ou mais";1
"1";"2022";"12";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"1";"2022";"12";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"18 a 59 anos";1
"1";"2023";"1";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"1";"2023";"2";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"18 a 59 anos";1
"1";"2023";"2";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"1";"2023";"3";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"1";"2023";"3";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"1";"2023";"4";"Injúria por preconceito";"Masculino";"Parda";"60 anos ou mais";1
"1";"2023";"5";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"1";"2023";"6";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"1";"2023";"8";"Preconceito de Raça ou de Cor";"Feminino";"Não informada";"18 a 59 anos";1
"1";"2023";"8";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"1";"2023";"9";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"4";"2022";"1";"Injúria por preconceito";"Feminino";"Branca";"60 anos ou mais";1
"4";"2022";"2";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";3
"4";"2022";"2";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";2
"4";"2022";"4";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";2
"4";"2022";"5";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"4";"2022";"7";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"4";"2022";"7";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"4";"2022";"8";"Injúria por preconceito";"Feminino";"Branca";"18 a 59 anos";3
"4";"2022";"8";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";2
"4";"2022";"8";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";1
"4";"2022";"8";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"4";"2022";"8";"Injúria por preconceito";"Não informado";"Parda";"18 a 59 anos";1
"4";"2022";"9";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"4";"2022";"10";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"18 a 59 anos";1
"4";"2023";"1";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"4";"2023";"1";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"18 a 59 anos";1
"4";"2023";"2";"Injúria por preconceito";"Feminino";"Branca";"18 a 59 anos";2
"4";"2023";"2";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"4";"2023";"3";"Injúria por preconceito";"Feminino";"Branca";"18 a 59 anos";1
"4";"2023";"3";"Injúria por preconceito";"Feminino";"Negra";"60 anos ou mais";1
"4";"2023";"3";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"4";"2023";"4";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"4";"2023";"4";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"4";"2023";"5";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"4";"2023";"5";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";2
"4";"2023";"6";"Preconceito de Raça ou de Cor";"Masculino";"Branca";"18 a 59 anos";1
"4";"2023";"6";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"4";"2023";"7";"Preconceito de Raça ou de Cor";"Masculino";"Branca";"18 a 59 anos";1
"4";"2023";"7";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"18 a 59 anos";1
"4";"2023";"7";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"4";"2023";"8";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"4";"2023";"9";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"4";"2023";"9";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"5";"2022";"1";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"5";"2022";"2";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"5";"2022";"2";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"5";"2022";"2";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"5";"2022";"2";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"18 a 59 anos";1
"5";"2022";"3";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";1
"5";"2022";"3";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"5";"2022";"3";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";3
"5";"2022";"3";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"5";"2022";"3";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"5";"2022";"4";"Injúria por preconceito";"Masculino";"Parda";"60 anos ou mais";1
"5";"2022";"4";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"5";"2022";"5";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";2
"5";"2022";"5";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"5";"2022";"5";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"5";"2022";"5";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"5";"2022";"6";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"5";"2022";"6";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"5";"2022";"6";"Preconceito de Raça ou de Cor";"Feminino";"Branca";"18 a 59 anos";1
"5";"2022";"6";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"5";"2022";"7";"Preconceito de Raça ou de Cor";"Masculino";"Branca";"18 a 59 anos";1
"5";"2022";"8";"Injúria por preconceito";"Feminino";"Parda";"60 anos ou mais";1
"5";"2022";"8";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"5";"2022";"8";"Injúria por preconceito";"Feminino";"Não informada";"18 a 59 anos";1
"5";"2022";"8";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"5";"2022";"8";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"5";"2022";"8";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"18 a 59 anos";1
"5";"2022";"8";"Preconceito de Raça ou de Cor";"Masculino";"Branca";"18 a 59 anos";2
"5";"2022";"8";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"5";"2022";"9";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"5";"2022";"9";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"5";"2022";"9";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"5";"2022";"9";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"18 a 59 anos";1
"5";"2022";"9";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";2
"5";"2022";"9";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"5";"2022";"10";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"5";"2022";"10";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"5";"2022";"10";"Injúria por preconceito";"Não informado";"Não informada";"Sem informação";1
"5";"2022";"10";"Preconceito de Raça ou de Cor";"Feminino";"Branca";"18 a 59 anos";3
"5";"2022";"10";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"5";"2022";"10";"Preconceito de Raça ou de Cor";"Masculino";"Branca";"18 a 59 anos";1
"5";"2022";"11";"Injúria por preconceito";"Feminino";"Indígena";"18 a 59 anos";1
"5";"2022";"11";"Injúria por preconceito";"Feminino";"Não informada";"18 a 59 anos";1
"5";"2022";"11";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";2
"5";"2022";"11";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";2
"5";"2022";"11";"Preconceito de Raça ou de Cor";"Masculino";"Branca";"Sem informação";1
"5";"2022";"11";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"5";"2022";"12";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"5";"2022";"12";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"18 a 59 anos";1
"5";"2022";"12";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"18 a 59 anos";1
"5";"2022";"12";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"5";"2022";"12";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"5";"2023";"1";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"5";"2023";"1";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
