;property_type;state;region;lat;lon;area_m2;price_brl
1;apartment;Pernambuco;Northeast;-8.134.204;-34.906.326;72;414222.98
2;apartment;Pernambuco;Northeast;-81.266.642;-34.903.924;136;848408.53
3;apartment;Pernambuco;Northeast;-81.255.503;-34.907.601;75;299438.28
4;apartment;Pernambuco;Northeast;-81.202.489;-3.489.592;187;848408.53
5;apartment;Pernambuco;Northeast;-8.142.666;-34.906.906;80;464129.36
6;apartment;Pernambuco;Northeast;-81.376.709;-34.913.349;94;294447.66
7;apartment;Pernambuco;Northeast;-81.415.992;-34.909.179;80;314410.19
8;apartment;Pernambuco;Northeast;-81.273.367;-34.902.712;54;419213.6
9;apartment;Pernambuco;Northeast;-81.092.891;-34.907.094;;349344.66
10;apartment;Pernambuco;Northeast;-81.092.891;-34.907.094;63;449157.45
11;apartment;Pernambuco;Northeast;-81.267.642;-34.903.425;105;548970.21
12;apartment;Pernambuco;Northeast;-81.109.179;-34.898.785;88;369307.22
13;apartment;Pernambuco;Northeast;-8.140.095;-3.490.444;167;998127.67
14;apartment;Pernambuco;Northeast;-81.272.168;-3.489.868;170;848408.53
15;apartment;Pernambuco;Northeast;-81.170.788;-34.899.475;;419213.6
16;apartment;Pernambuco;Northeast;-81.411.081;-3.490.887;64;339363.39
17;apartment;Pernambuco;Northeast;-81.205.721;-34.900.301;81;369307.22
18;apartment;Pernambuco;Northeast;-81.255.503;-34.907.601;72;359325.95
19;apartment;Pernambuco;Northeast;-81.311.923;-34.905.777;83;389269.77
20;apartment;Pernambuco;Northeast;-81.286.491;-34.906.648;;399251.07
21;apartment;Pernambuco;Northeast;-81.092.891;-34.907.094;63;329382.13
22;apartment;Pernambuco;Northeast;-81.092.891;-34.907.094;73;399251.07
23;apartment;Pernambuco;Northeast;-81.381.022;-34.904.297;88;479101.27
24;apartment;Pernambuco;Northeast;-81.135.593;-34.899.778;109;289457.01
25;apartment;Pernambuco;Northeast;-81.201.808;-34.901.596;80;379288.51
26;apartment;Pernambuco;Northeast;-81.421.058;-34.906.731;104;568932.77
27;apartment;Pernambuco;Northeast;-81.260.517;-34.902.553;73;349344.66
28;apartment;Pernambuco;Northeast;-81.384.551;-34.909.165;69;394260.42
29;apartment;Pernambuco;Northeast;-81.211.048;-34.907.255;90;379288.51
30;apartment;Pernambuco;Northeast;-81.100.714;-34.893.698;183;1522144.71
31;apartment;Pernambuco;Northeast;-8.126.948;-34.905.159;98;598876.59
32;apartment;Pernambuco;Northeast;-8.108.315;-34.898.277;;1427322.56
33;apartment;Pernambuco;Northeast;-8.109.441;-34.898.106;130;908296.17
34;apartment;Pernambuco;Northeast;-8.109.441;-34.898.106;;628820.41
35;apartment;Pernambuco;Northeast;-8.109.441;-34.898.106;128;958202.55
36;apartment;Pernambuco;Northeast;-8.109.441;-34.898.106;130;778539.59
37;apartment;Pernambuco;Northeast;-8.109.441;-34.898.106;100;718651.91
38;apartment;Pernambuco;Northeast;-8.109.441;-34.898.106;128;938240.02
39;apartment;Pernambuco;Northeast;-8.046.015;-34.910.507;55;369307.22
40;apartment;Pernambuco;Northeast;-8.086.438;-3.489.069;;444166.8
41;apartment;Pernambuco;Northeast;-80.415.623;-349.416.901;60;309419.57
42;apartment;Pernambuco;Northeast;-8.040.035;-34.899.654;182;1497191.5
43;apartment;Pernambuco;Northeast;-8.046.015;-34.910.507;55;389269.77
44;apartment;Pernambuco;Northeast;-8.056.418;-34.909.309;133;873361.7
45;apartment;Pernambuco;Northeast;-8.033.291;-34.898.014;113;918277.46
46;apartment;Pernambuco;Northeast;-8.048.381;-34.908.379;123;798502.15
47;apartment;Pernambuco;Northeast;-802.765;-34.920.338;105;828445.97
48;apartment;Pernambuco;Northeast;-80.332.786;-349.069.915;;798502.15
49;apartment;Pernambuco;Northeast;-80.332.786;-349.069.915;180;798502.15
50;apartment;Pernambuco;Northeast;-8.094.985;-34.892.761;160;1497191.5
51;apartment;Pernambuco;Northeast;-8.021.971;-34.931.366;;948221.29
52;apartment;Pernambuco;Northeast;-80.330.615;-348.950.223;160;1247659.6
53;apartment;Pernambuco;Northeast;-803.145;-34.917.198;55;239550.63
54;apartment;Pernambuco;Northeast;-8.126.271;-34.903.793;240;998127.67
55;apartment;Pernambuco;Northeast;-80.288.008;-349.190.997;155;988146.4
56;apartment;Pernambuco;Northeast;-8.027.162;-34.913.445;117;638801.71
57;apartment;Pernambuco;Northeast;-80.124.263;-349.074.499;238;1048034.05
58;apartment;Pernambuco;Northeast;-8.048.381;-34.908.379;167;598876.59
59;apartment;Pernambuco;Northeast;-8.085.706;-34.890.419;71;379288.51
60;apartment;Pernambuco;Northeast;-8.032.375;-34.906.925;;429194.89
61;apartment;Pernambuco;Northeast;-8.032.375;-34.906.925;61;449157.45
62;house;Pernambuco;Northeast;-8.027.666;-34.881.813;160;578914.03
63;apartment;Pernambuco;Northeast;-8.040.233;-34.898.281;82;529007.65
64;apartment;Pernambuco;Northeast;-8.035.595;-34.921.719;;1397378.74
65;apartment;Pernambuco;Northeast;-80.295.901;-34.909.819;210;808483.41
66;apartment;Pernambuco;Northeast;-8.048.997;-3.491.011;175;798502.15
67;apartment;Pernambuco;Northeast;-8.027.162;-34.913.445;62;359325.95
68;apartment;Pernambuco;Northeast;-8.027.162;-34.913.445;62;369307.22
69;apartment;Pernambuco;Northeast;-8.027.162;-34.913.445;;349344.66
70;apartment;Pernambuco;Northeast;-8.021.971;-34.931.366;150;998127.67
71;apartment;Pernambuco;Northeast;-8.047.531;-349.142.641;;314410.19
72;apartment;Pernambuco;Northeast;-80.294.182;-349.243.177;240;1597004.3
73;apartment;Pernambuco;Northeast;-8.021.971;-34.931.366;204;1097940.43
74;apartment;Pernambuco;Northeast;-8.149.876;-34.910.686;78;299438.28
75;apartment;Pernambuco;Northeast;-8.035.618;-3.489.333;149;1096942.3
76;apartment;Pernambuco;Northeast;-8.037.489;-3.489.537;80;439176.16
77;apartment;Pernambuco;Northeast;-8.027.162;-34.913.445;79;474110.62
78;house;Pernambuco;Northeast;-80.356.845;-349.234.524;238;1447285.12
79;apartment;Pernambuco;Northeast;-8.116.955;-34.896.206;128;743605.12
80;apartment;Pernambuco;Northeast;-8.117.513;-34.899.639;129;758577.03
81;apartment;Pernambuco;Northeast;-8.117.513;-34.899.639;129;1048034.05
82;apartment;Pernambuco;Northeast;-8.034.344;-34.896.725;67;439176.16
83;apartment;Pernambuco;Northeast;-8.035.971;-34.895.073;135;848408.53
84;apartment;Pernambuco;Northeast;-8.126.271;-34.903.793;;978165.11
85;apartment;Pernambuco;Northeast;-8.125.065;-34.906.685;70;429194.89
86;apartment;Pernambuco;Northeast;-8.032.252;-34.893.612;134;678726.79
87;apartment;Pernambuco;Northeast;-8.041.807;-34.894.043;105;558951.47
88;apartment;Pernambuco;Northeast;-8.119.507;-34.895.363;200;1097940.43
89;apartment;Pernambuco;Northeast;-8.183.491;-34.921.719;148;588895.33
90;apartment;Pernambuco;Northeast;-8.183.491;-34.921.719;238;748595.73
91;apartment;Pernambuco;Northeast;-8.103.477;-34.888.622;140;948221.29
92;apartment;Pernambuco;Northeast;-82.027.839;-349.170.501;58;279475.72
93;apartment;Pernambuco;Northeast;-80.584.269;-348.834.188;118;279475.72
94;apartment;Pernambuco;Northeast;-8.043.853;-34.907.928;203;1349987.64
95;apartment;Pernambuco;Northeast;-8.183.698;-34.931.366;53;364316.6
96;apartment;Pernambuco;Northeast;-81.423.048;-349.096.799;;329382.13
97;apartment;Pernambuco;Northeast;-81.440.884;-34.908.476;75;449157.45
98;apartment;Pernambuco;Northeast;-8.108.721;-34.897.616;101;598876.59
99;apartment;Pernambuco;Northeast;-8.027.162;-34.913.445;58;319400.84
100;apartment;Pernambuco;Northeast;-81.431.534;-34.904.241;;648782.97
101;apartment;Pernambuco;Northeast;-81.404.559;-34.907.893;94;299438.28
102;apartment;Pernambuco;Northeast;-81.098.693;-34.897.672;;299438.28
103;apartment;Pernambuco;Northeast;-81.098.693;-34.897.672;;319400.84
104;apartment;Pernambuco;Northeast;-8.040.233;-34.898.281;;648782.97
105;apartment;Pernambuco;Northeast;-802.765;-34.920.338;64;359325.95
106;apartment;Pernambuco;Northeast;-8.192.952;-34.931.366;64;239550.63
107;apartment;Pernambuco;Northeast;-8.152.399;-34.920.338;148;648782.97
108;apartment;Pernambuco;Northeast;-81.869.427;-355.808.245;;259513.19
109;apartment;Pernambuco;Northeast;-8.041.209;-34.895.039;94;399251.07
110;apartment;Pernambuco;Northeast;-80.347.457;-348.972.145;128;738614.47
111;apartment;Pernambuco;Northeast;-8.035.595;-34.921.719;216;1497191.5
